device,node_id,time_utc_usec,active_intensity,q_factor,histogram_count,azimuth,elevation,yaw,pitch,roll,north,east,down
dev2,43,1780350148644382,20.326576232910156,1.9081385135650635,50,222.07089233398438,-54.894161224365234,326.4048767089844,1.2900537252426147,5.257996559143066,0.03398475423455238,-0.03542186692357063,0.0017943026032298803
dev2,43,1780350148812382,22.479936599731445,2.541163682937622,65,222.52001953125,-53.29743957519531,326.39349365234375,1.2911081314086914,5.257485866546631,0.03391829505562782,-0.03536099195480347,0.0018386541632935405
dev2,43,1780350148983382,21.19244384765625,1.9507334232330322,17,200.4876251220703,-79.1504898071289,326.3779296875,1.2887543439865112,5.258450031280518,0.03383813425898552,-0.03529426082968712,0.0019310995703563094
dev2,43,1780350149148382,20.9196834564209,2.02677845954895,58,227.89111328125,-52.750484466552734,326.36346435546875,1.2902437448501587,5.258583068847656,0.033762771636247635,-0.03520680591464043,0.0019514064770191908
dev2,43,1780350149316382,22.38277816772461,2.2237093448638916,12,243.2554931640625,-57.22821044921875,326.3546447753906,1.2897140979766846,5.2584309577941895,0.03371264040470123,-0.03514745086431503,0.001957840984687209
dev2,43,1780350149484382,21.15848159790039,1.8478493690490723,57,220.83541870117188,-68.14969635009766,326.34368896484375,1.2877635955810547,5.256957054138184,0.033724721521139145,-0.035093944519758224,0.001950936741195619
dev2,43,1780350149655382,20.666963577270508,1.9736140966415405,34,195.16558837890625,-53.97038269042969,326.3363037109375,1.2877678871154785,5.2549638748168945,0.03380287066102028,-0.03510260209441185,0.001918362220749259
dev2,43,1780350149823382,19.948135375976562,1.7134007215499878,36,191.55801391601562,-52.77109146118164,326.32672119140625,1.2879154682159424,5.256105422973633,0.03394070640206337,-0.03518280014395714,0.0018636633176356554
dev2,43,1780350149991382,32.70840072631836,6.647772789001465,51,52.247528076171875,50.15498352050781,326.31390380859375,1.2867300510406494,5.256569862365723,0.03409872204065323,-0.03535955399274826,0.00176066136918962
dev2,43,1780350150159382,40.36426544189453,5.401419639587402,88,51.73779296875,36.066287994384766,326.3037109375,1.2882740497589111,5.2576398849487305,0.03420223668217659,-0.03551109507679939,0.0016524003585800529
dev2,43,1780350150327382,37.859092712402344,4.910099029541016,54,76.34835815429688,38.48566436767578,326.3009948730469,1.2872868776321411,5.2560954093933105,0.03425438702106476,-0.03561939671635628,0.001646713586524129
dev2,43,1780350150495382,29.174175262451172,4.274109363555908,54,49.309722900390625,52.044830322265625,326.30584716796875,1.286749005317688,5.256021499633789,0.034270159900188446,-0.03567640855908394,0.001708716619759798
dev2,43,1780350150665382,20.271602630615234,1.7539256811141968,31,74.16204833984375,-66.98995208740234,326.30859375,1.2893095016479492,5.2558817863464355,0.03422104939818382,-0.03568057715892792,0.0017204368487000465
dev2,43,1780350150834382,20.70836067199707,2.0615713596343994,47,196.97817993164062,-69.0676498413086,326.3084411621094,1.288090467453003,5.256914138793945,0.03416501358151436,-0.035627156496047974,0.0017429683357477188
dev2,43,1780350151002382,20.177888870239258,1.7981454133987427,33,197.24368286132812,-69.2020263671875,326.3059997558594,1.2861813306808472,5.257047653198242,0.03412463888525963,-0.03551365062594414,0.0018034239765256643
dev2,43,1780350151170382,20.36910629272461,1.991081953048706,66,222.8740692138672,-53.18083953857422,326.2972412109375,1.2867182493209839,5.256702899932861,0.03410307317972183,-0.03537347912788391,0.0018985009519383311
dev2,43,1780350151338382,19.98894500732422,1.640123724937439,30,223.78135681152344,-7.7875237464904785,326.2879943847656,1.2853825092315674,5.255664825439453,0.03408832848072052,-0.035233866423368454,0.0020471811294555664
dev2,43,1780350151506382,19.584362030029297,1.6204726696014404,23,194.39601135253906,-67.83172607421875,326.27825927734375,1.2839003801345825,5.255518913269043,0.034098945558071136,-0.03510900214314461,0.0022031909320503473
dev2,43,1780350151674382,20.60157585144043,2.1421446800231934,64,218.0356903076172,-56.60930252075195,326.2713317871094,1.2846242189407349,5.252589702606201,0.034184131771326065,-0.03504025191068649,0.0022887561935931444
dev2,43,1780350151842382,20.713279724121094,2.0301246643066406,34,201.08511352539062,-52.21839141845703,326.265625,1.2831188440322876,5.251408100128174,0.03428780660033226,-0.03502139449119568,0.002349886577576399
dev2,43,1780350152013382,20.607105255126953,1.9310245513916016,56,221.42323303222656,-54.88098907470703,326.25909423828125,1.284530758857727,5.251091480255127,0.034354910254478455,-0.03505042940378189,0.002413154114037752
dev2,43,1780350152181382,20.055458068847656,1.8929734230041504,27,200.91212463378906,-52.45213317871094,326.25115966796875,1.286036491394043,5.251406669616699,0.0343635194003582,-0.03508974239230156,0.002494302112609148
dev2,43,1780350152349382,18.70748519897461,1.4654532670974731,36,193.15126037597656,-66.47738647460938,326.2447509765625,1.2876886129379272,5.250812530517578,0.03432271629571915,-0.035088084638118744,0.0025182990357279778
dev2,43,1780350152517382,19.795063018798828,1.6225011348724365,37,222.02032470703125,-38.45429229736328,326.24310302734375,1.2861396074295044,5.250136852264404,0.03422734513878822,-0.035077039152383804,0.0024839031975716352
dev2,43,1780350152685382,20.294878005981445,1.7223563194274902,31,197.61260986328125,-69.62615203857422,326.2395935058594,1.2874630689620972,5.248627662658691,0.034135691821575165,-0.035082198679447174,0.0024939884897321463
dev2,43,1780350152853382,19.65125846862793,1.638831615447998,27,197.517333984375,-69.77598571777344,326.2331848144531,1.284898281097412,5.250046730041504,0.03402731195092201,-0.03510386124253273,0.0025544657837599516
dev2,43,1780350153021382,21.0611572265625,2.3273825645446777,30,194.22653198242188,-80.34590911865234,326.2249450683594,1.2831975221633911,5.249961853027344,0.03394360840320587,-0.03514077514410019,0.002654162235558033
dev2,43,1780350153192382,18.469484329223633,1.3657532930374146,56,224.84764099121094,-68.93704223632812,326.21923828125,1.2794119119644165,5.250341415405273,0.033897414803504944,-0.03515932708978653,0.0026996093802154064
dev2,43,1780350153360382,19.416030883789062,1.552910566329956,27,222.9055938720703,-39.49483871459961,326.2150573730469,1.2796066999435425,5.2508392333984375,0.033886928111314774,-0.035193998366594315,0.002723302226513624
dev2,43,1780350153528382,20.10324478149414,1.7560124397277832,20,200.55055236816406,-79.95845794677734,326.2095031738281,1.2801668643951416,5.248398780822754,0.033928025513887405,-0.03522737696766853,0.0026690710801631212
dev2,43,1780350153696382,19.8678035736084,1.7077897787094116,46,220.85882568359375,-53.94611358642578,326.20025634765625,1.2790403366088867,5.246907711029053,0.03398876637220383,-0.03529549762606621,0.002607826143503189
dev2,43,1780350153864382,29.240921020507812,7.151205539703369,67,37.27813720703125,-36.30015563964844,326.19415283203125,1.276957631111145,5.248618125915527,0.0340283066034317,-0.035439807921648026,0.0026171179488301277
dev2,43,1780350154032382,25.743541717529297,3.9823904037475586,51,39.352203369140625,-36.65951156616211,326.18646240234375,1.280746579170227,5.247851371765137,0.03404488041996956,-0.03555987402796745,0.0026726939249783754
dev2,43,1780350154203382,21.6545467376709,2.2189204692840576,34,197.4849395751953,-79.90764617919922,326.186767578125,1.276147723197937,5.25016975402832,0.03407266363501549,-0.03569319099187851,0.0027578675653785467
dev2,43,1780350154371382,20.72629165649414,1.9423807859420776,57,221.798828125,-67.67932891845703,326.1858825683594,1.2801494598388672,5.249939918518066,0.03410826623439789,-0.03582567721605301,0.0028038842137902975
dev2,43,1780350154539382,19.513662338256836,1.5775970220565796,22,194.0627899169922,-81.10401153564453,326.1844787597656,1.2807565927505493,5.2519307136535645,0.03415053337812424,-0.03592059016227722,0.00285958219319582
dev2,43,1780350154707382,20.43148422241211,2.048630952835083,32,198.65188598632812,-54.774845123291016,326.1812438964844,1.2802653312683105,5.254519939422607,0.03418634831905365,-0.035936661064624786,0.002932517556473613
dev2,43,1780350154875382,20.031673431396484,1.9375985860824585,44,225.20315551757812,-36.712867736816406,326.16796875,1.2777186632156372,5.256465435028076,0.03425011783838272,-0.03587258607149124,0.003014996415004134
dev2,43,1780350155043382,19.161502838134766,1.596754550933838,19,195.84078979492188,-52.886260986328125,326.15899658203125,1.2810832262039185,5.259322166442871,0.034297261387109756,-0.035712677985429764,0.00305277481675148
